state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,total minutes,total calls,total charges
GA,70,415,411-1530,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,731.9,267,74.51
TX,106,510,395-3026,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,651.1999999999999,269,65.59
VT,128,510,388-6441,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,728.2,268,64.22
IN,94,408,402-1251,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,502.5,290,48.55
WV,111,510,412-9997,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,605.2,292,62.36
KY,74,415,346-7302,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,479.6,245,45.78
NJ,128,415,358-9095,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,694.4,286,70.89
DC,82,510,400-9770,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,448.4,260,45.96
LA,155,415,334-1275,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,590.3,323,59.63
AR,80,415,340-4953,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,550.5,269,47.230000000000004
ME,78,415,400-9510,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,695.2,310,70.03
AZ,90,415,387-6103,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,497.4,243,52.4
AK,104,408,366-4467,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,522.5999999999999,356,61.56
MT,73,415,370-3450,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,547.5,254,53.17999999999999
AZ,99,415,327-3954,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,596.4,276,59.900000000000006
MS,120,408,355-6291,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,588.7,331,61.379999999999995
ID,77,415,362-9748,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,732.7,307,72.67
IA,98,510,379-6506,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,573.5999999999999,289,56.050000000000004
MA,108,415,347-7741,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,496.4,315,52.19
VT,135,415,354-3783,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,450.7,287,44.01
KY,95,408,401-7594,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,563.9000000000001,307,49.6
IN,122,408,397-4976,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,592.8,278,54.94
AZ,95,408,334-2577,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,615.3,278,64.94
MI,36,510,400-3637,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,670.8,291,73.45
NM,93,510,383-4361,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,499.4,332,43.779999999999994
CO,141,415,371-4306,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,499.1,330,46.27
UT,157,408,403-4298,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,619.1,319,62.5
MI,120,408,409-3786,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,601.4,269,60.370000000000005
MA,103,415,337-4697,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,631.1,302,60.46
AL,98,408,383-1509,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,579.5999999999999,343,53.85
DE,125,408,359-9794,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,580.5,312,50.199999999999996
AZ,63,415,407-7035,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,439.9,272,33.94
ME,36,510,363-1069,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,590.0,337,61.35
NJ,64,510,391-4652,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,372.4,314,43.18000000000001
NV,74,415,355-6837,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,672.4,277,74.37
MO,112,510,409-1244,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,448.79999999999995,317,40.71
ID,97,408,328-3266,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,597.9000000000001,317,65.48
NE,46,408,352-7072,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,637.6,285,64.05
TX,41,408,370-7550,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,497.8,311,54.800000000000004
MD,121,510,369-5526,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,595.0,323,57.96
MS,193,415,329-4391,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,416.1,308,45.379999999999995
NV,130,510,408-4195,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,491.79999999999995,334,45.81
AZ,85,408,354-4445,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,683.3,262,65.1
MS,162,415,335-4858,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,383.0,277,32.38
MS,61,510,414-8718,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,559.8,356,54.5
TX,92,408,409-5939,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,460.4,299,39.93
NE,131,408,331-4902,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,640.5999999999999,334,62.06
NE,90,415,353-6870,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,510.1,329,49.849999999999994
CA,75,408,355-2909,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,581.2,291,53.269999999999996
NJ,78,415,390-6101,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,722.8,375,70.61
TX,82,408,400-3446,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,607.6,258,60.42
AR,163,408,411-5859,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,606.0,317,60.0
AL,91,510,387-2919,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,550.4000000000001,325,47.93
NY,75,415,374-8525,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,630.8,337,59.06999999999999
FL,91,510,379-5592,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,608.8,348,61.19
AK,127,510,345-8237,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,573.3,264,53.77
NV,113,415,422-6690,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,515.6,220,54.910000000000004
DE,110,510,346-2359,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,618.5,311,57.449999999999996
MD,120,415,374-3534,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,674.5,281,64.2
MI,157,415,381-4756,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,497.8,320,54.3
VT,103,510,390-2805,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,642.5,227,67.55
VT,117,408,390-2390,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,594.0,305,54.72
MI,140,415,419-9097,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,502.4,293,58.0
WA,127,408,386-7281,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,553.6,279,51.39
UT,83,408,380-3561,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,608.9,318,70.0
LA,121,408,390-8760,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,561.5,322,56.69
RI,145,408,366-6730,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,706.6999999999999,278,70.5
IA,113,408,395-5285,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,587.5,291,59.52
NE,117,415,354-3436,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,608.5,315,48.51
OH,65,408,336-7600,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,572.8,319,55.57000000000001
RI,56,415,383-6293,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,615.0,372,65.86000000000001
OK,96,415,362-4596,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,675.9,248,68.81
LA,151,408,401-3926,no,no,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,736.7,355,67.17999999999999
OH,83,415,370-9116,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,718.6999999999999,350,83.62
VA,139,510,328-6289,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,663.8,337,59.45
MO,6,510,350-9994,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,618.9,268,61.07
FL,115,510,351-4616,no,yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,490.3,367,47.17
SC,87,415,360-5779,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,446.0,306,44.0
VA,141,415,417-4885,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,712.1,324,68.85
IA,141,510,406-4710,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,658.4,320,62.73
MI,62,415,409-8743,no,no,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,470.9,307,38.97
OK,146,415,335-4584,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,522.0999999999999,331,55.22
DE,92,415,361-9845,no,yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False,685.5999999999999,288,69.78999999999999
GA,185,510,366-5699,no,yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False,617.9000000000001,385,58.07000000000001
DC,148,415,329-9364,no,no,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False,706.5,320,66.77000000000001
AZ,94,408,390-7434,no,yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False,469.29999999999995,313,50.120000000000005
AL,32,510,404-9680,no,no,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,572.3,230,62.11
CO,68,408,338-9398,no,no,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,False,558.0,289,63.690000000000005
NH,64,408,394-2445,no,yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,516.5,275,52.790000000000006
NM,25,415,381-2709,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,599.7,274,50.36000000000001
OR,65,415,397-5060,no,no,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,478.1,330,43.28
LA,179,408,415-2393,no,no,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,False,613.3,321,60.96999999999999
NE,94,415,377-1765,no,no,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,False,592.5,335,65.0
MN,62,415,409-2111,no,no,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,False,532.7,313,49.97
MI,127,415,401-3170,no,no,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,626.7,302,62.64
AR,116,408,405-5681,no,no,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,False,575.6,281,55.36
KS,70,408,411-4582,no,no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,False,725.5999999999999,346,73.36
WV,94,510,355-5009,yes,yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,False,693.8,364,64.44
AK,126,415,372-3750,no,no,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,True,333.7,303,27.84
NY,67,408,405-2888,no,yes,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,False,523.1999999999999,308,47.49999999999999
NH,19,408,361-3337,no,no,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,False,654.4,282,62.89000000000001
VA,170,510,350-1639,yes,no,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,False,639.3,311,71.05999999999999
